SKU,name,theme,weight,rating,piece_count,uom,release_year,state
90794424,The Deep End: The Shadowy Shoal,Benthic Horror,3000,9+,789,BOX,2025,RETIRED
91468175,Njord's Voyage: The Sea God's Journey,Ancient Pantheons,4500,6+,789,BOX,2023,ACTIVE
46673149,The Odyssey: Cyclops Encounter,Classics,1000,4+,584,BOX,2025,ACTIVE
62680688,Quantum Quest: The Photon Portal,Galactic Pioneers,900,13+,584,BOX,2004,RETIRED
72170100,The Timekeeper's Clock of Aeon,Ancient Wonders and Mysteries,500,9+,709,BOX,2021,RETIRED
96700462,The Starry Spire of Stellara,Ancient Wonders and Mysteries,1000,4+,278,BOX,2026,UNRELEASED
56726926,Dionysus' Revelry: The Festival of Wine,Ancient Pantheons,900,6+,789,BOX,2017,RETIRED
55475483,The Crystal Towers of Lumina,Ancient Wonders and Mysteries,4500,4+,177,BOX,2019,RETIRED
87633338,Gear-Grinder Tank: The Armored Juggernaut,Steam Era,2000,6+,350,BOX,2026,UNRELEASED
96712886,Ocean's Whisper: The Eerie Trench,Benthic Horror,150,4+,231,BOX,2026,UNRELEASED
26238125,The Eternal Flame of Pyra,Ancient Wonders and Mysteries,150,4+,789,BOX,2005,RETIRED
20929322,Hecate's Mystery: The Moonlit Ritual,Ancient Pantheons,4500,9+,231,BOX,2016,RETIRED
20732417,Nebula Navigators: The Stardust Voyager,Galactic Pioneers,2000,6+,617,BOX,2023,ACTIVE
23855024,Aurora Observatory: The Northern Lights,Arctic Conquest,2000,6+,660,BOX,2024,ACTIVE
59787514,The Count of Monte Cristo: Escape from Château d'If,Classics,500,18+,1505,BOX,2026,UNRELEASED
15278256,Deep Sea Shadows: The Kraken's Lair,Benthic Horror,1000,18+,789,BOX,2007,RETIRED
82164498,Icicle Infiltration: The Secret Tunnel,Arctic Conquest,900,18+,278,BOX,2025,ACTIVE
48028821,Solar Farm: The Energy Collector,Terraforming Mars,150,1.5+,350,BOX,2020,RETIRED
79035651,The Celestial Bridge of Astralon,Ancient Wonders and Mysteries,500,1.5+,468,BOX,2012,RETIRED
90144431,Robin Hood: Sherwood Forest Hideout,Classics,500,18+,617,BOX,2025,RETIRED
39215796,Gulliver’s Travels: Land of the Giants,Classics,3000,4+,584,BOX,2012,RETIRED
52504998,The Lost Lagoon: Phantom Waters,Benthic Horror,3000,13+,231,BOX,2025,UNRELEASED
85266556,The Radiant Reef of Luminara,Ancient Wonders and Mysteries,8400,18+,1010,BOX,2013,RETIRED
81731523,Murky Mysteries: The Creeping Kelp,Benthic Horror,2000,9+,542,BOX,2026,UNRELEASED
19114005,The Hunchback of Notre-Dame: Cathedral Rescue,Classics,150,1.5+,421,BOX,2023,ACTIVE
80655955,Snowcap Station: The Mountain Base,Arctic Conquest,8400,18+,2953,BOX,2025,UNRELEASED
97198496,Interstellar Rangers: Planetary Patrol,Galactic Pioneers,1000,4+,542,BOX,2002,RETIRED
18367499,Frostbite Facility: The Survival Shelter,Arctic Conquest,500,1.5+,617,BOX,2009,RETIRED
74039479,Terraform Team: The Atmospheric Processor,Terraforming Mars,2000,1.5+,811,BOX,2025,UNRELEASED
62353205,Freya's Garden: The Eternal Blossom,Ancient Pantheons,2000,1.5+,789,BOX,2025,UNRELEASED
51234161,Clockwork Crane: The Industrial Lifter,Steam Era,150,9+,617,BOX,2026,UNRELEASED
41399863,Ares' Battlefield: The War God's Arena,Ancient Pantheons,4500,18+,350,BOX,2026,UNRELEASED
81729288,Cybernetic Conquest: The AI Armada,Galactic Pioneers,150,1.5+,542,BOX,2026,UNRELEASED
19492526,The Mystic Mountain of Eldara,Ancient Wonders and Mysteries,900,1.5+,617,BOX,2026,UNRELEASED
12241331,Space Pirates: Nebula Raider,Galactic Pioneers,1000,18+,231,BOX,2025,UNRELEASED
54030398,The Floating Gardens of Azura,Ancient Wonders and Mysteries,2000,18+,468,BOX,2025,ACTIVE
23792176,The Luminous Lake of Solara,Ancient Wonders and Mysteries,8400,6+,789,BOX,2025,UNRELEASED
58635850,Steam-Powered Bicycle: The Velocipede,Steam Era,150,13+,177,BOX,2023,RETIRED
61509747,Robinson Crusoe: Desert Island Survival,Classics,1000,13+,350,BOX,2025,UNRELEASED
22290264,The Storm Pillars of Tempestus,Ancient Wonders and Mysteries,3000,1.5+,1010,BOX,2026,UNRELEASED
31275576,Brass Balloon: The Airborne Explorer,Steam Era,150,13+,468,BOX,2024,ACTIVE
59380140,The Enchanted Forest of Faerwyn,Ancient Wonders and Mysteries,900,4+,2953,BOX,2002,RETIRED
28343414,Ivanhoe: The Knight's Challenge,Classics,4500,4+,660,BOX,2001,RETIRED
16988648,Loki's Trickery: The Mischief Cavern,Ancient Pantheons,8400,18+,2953,BOX,2026,UNRELEASED
85285127,Rover Recon: The Surface Explorer,Terraforming Mars,1000,1.5+,468,BOX,2025,ACTIVE
65595705,Echoes from Below: The Siren's Call,Benthic Horror,900,6+,736,BOX,2004,RETIRED
17168706,The Dreaded Depths: The Haunted Atoll,Benthic Horror,6500,4+,660,BOX,2024,ACTIVE
89307752,The Illusionary Isles of Phantasia,Ancient Wonders and Mysteries,500,13+,660,BOX,2025,UNRELEASED
72603018,Martian Mysteries: Red Planet Research,Galactic Pioneers,6500,9+,736,BOX,2026,UNRELEASED
71568423,Tyr's Trial: The Hand of Justice,Ancient Pantheons,3000,13+,231,BOX,2023,ACTIVE
46708200,Steam-Powered Hovercraft: The Floating Skiff,Steam Era,1000,4+,660,BOX,2024,ACTIVE
10421203,Galactic Gladiators: Arena of the Stars,Galactic Pioneers,900,1.5+,177,BOX,2023,ACTIVE
66513789,Polar Pioneer: The Satellite Launch,Arctic Conquest,150,13+,421,BOX,2012,RETIRED
50718994,Brass Battle Bot: The Combat Automaton,Steam Era,900,13+,350,BOX,2020,RETIRED
42441663,Blizzard Base: The Storm Shelter,Arctic Conquest,900,13+,617,BOX,2023,ACTIVE
82752871,Persephone's Return: The Spring Passage,Ancient Pantheons,4500,18+,231,BOX,2024,ACTIVE
93937087,Polar Patrol: The Snow Rover,Arctic Conquest,2000,1.5+,278,BOX,2026,UNRELEASED
62668917,Cosmic Colonists: Terraforming Expedition,Galactic Pioneers,4500,9+,1010,BOX,2025,UNRELEASED
32400502,Abyssal Anomaly: The Haunted Cavern,Benthic Horror,150,9+,177,BOX,2011,RETIRED
88664403,Treasure Island: Pirate Cove,Classics,6500,6+,177,BOX,2025,UNRELEASED
59781679,Hermes' Messenger: The Winged Sandals,Ancient Pantheons,900,13+,789,BOX,2022,RETIRED
84350729,The Whispering Walls of Echoa,Ancient Wonders and Mysteries,500,13+,709,BOX,2023,ACTIVE
44893381,The Chilling Current: The Phantom Tide,Benthic Horror,1000,6+,231,BOX,2009,RETIRED
30811180,The Three Musketeers: Dueling Grounds,Classics,150,18+,350,BOX,2025,UNRELEASED
93495675,Athena's Parthenon: The Temple of Wisdom,Ancient Pantheons,150,18+,789,BOX,2008,RETIRED
20803508,Orbital Gateway: The Space Dock,Terraforming Mars,6500,13+,542,BOX,2024,ACTIVE
24355973,Thor's Hammer: The Lightning Forge,Ancient Pantheons,1000,6+,617,BOX,2025,ACTIVE
77244724,Alien Alliance: The Galactic Pact,Galactic Pioneers,8400,1.5+,542,BOX,2026,UNRELEASED
40728582,Arctic Command: The Ice Fortress,Arctic Conquest,1000,4+,278,BOX,2023,ACTIVE
97539225,Yggdrasil's Roots: The World Tree Base,Ancient Pantheons,1000,4+,231,BOX,2014,RETIRED
49035499,The Golden Grove of Aurum,Ancient Wonders and Mysteries,4500,6+,811,BOX,2012,RETIRED
88954974,Robo Rebellion: Mecha Uprising,Galactic Pioneers,6500,18+,660,BOX,2022,RETIRED
